10,1,"A. WHAT KIND OF INFORMATION WE COLLECT a. Personal Information. We do not collect Personal Information. ""Personal Information"" is information that identifies you or another person, which may be transmitted or received when you use an Application, the Services and/or the Site. ion includes your names, physical addresses, email addresses, telephone, fax, SSN, information stored within your Device and other information you transmit or receive using an Application, the Service and or the Site which identifies you or another person.b. Non-personal identification. We may collect non-personal identification information about installed applications, application usage information and device information.The information you give us, for example, when you give us your opinions to our application and services via our feedback channel, such as your email address, and names;"
10,2,"B. HOW WE USE COLLECTED INFORMATION a. Personal Information- since we do not collect Personal Information, we may not use your personal information in any way.b. Non- Personal Information. We may use Non-Personal Information only for serving you better as below: 1.To personalize user experience; 2.To help develop our service- We may use Non- Personal Information to provide, maintain, improve and develop our services;3. We may collect your non-personal information and use them for market and promotion purpose, for example, we may promote or recommend more relevant apps to you."
10,3,
10,4,"C. HOW YOUR INFORMATION MAY BE DISCLOSED a. Personal Information. We do not store Personal Information and therefore we do not disclose your Personal Information.b. Non-Personal Information. We do not sell, trade, or otherwise transfer to outside parties your information. We do not combine Non-Personal Information with Personal Information (such as combining your name with your unique User Device number).c. We may disclose your non-personal information for promotion purpose to our trusted partners who shall comply with this privacy policy and the relevant privacy lawsD. THIRD- PARTY SITES In general, the Applications, the Services and the Site access third party information (such as your Facebook account information) through application interfaces. We may provide links to third-party Web sites, such as Facebook, as a service to our Users. The Site may also carry advertisements from other companies. When you click on links of third parties in an Application, the Services or the Site, you may leave the Application, the Services or the Site. Some of these third party sites may be co-branded with our name/logo or our affiliated entity's name/logo, even though they are not operated or maintained by us. This Policy does not address, and we are not responsible for, the privacy practices of Web sites operated by third parties, whether they are linked to or otherwise accessible from an Application, the Services or the Site. The inclusion of a link or accessibility of third party Websites does not imply endorsement of such third party Website by us.E. USERS WITH WHOM YOU SHARE YOUR INFORMATION We cannot control the actions of other Users with whom you share your information. We cannot, and do not, control the information you share with other Users using an Application, the Services or the Site (including via Forums) or how such other Users will use or share such information. We are not responsible for third party circumvention of our security measures."
10,5,"H. CONTACTING US / REPORTING VIOLATIONS If you have any questions or comments about this Policy or our privacy practices, or to report any violations of the Policy or abuse of an Application, the Services or the Site, please contact us at support@cmcm.com."
11,1,"To send periodic emails The email address you provide in user experience improvement program or feedback your opinions to us, will only be used to respond your feedback, send you information and updates of our products and services.What information do we collect? We collect information to improve our application and provide better services to all of our users - including: the information you give us, for example, when you give us your opinions to our application and services via our feedback channel;the information we get from your use of our application and services, like the keywords you type in our application to search, the websites link you input, click, interact, and trigger from any application in your device;log information, the application events such as version, installed date and time, usages statistics, crashes event, and dump reports of our application;We do not collect your personal identifiable information when you using our product, such as name, phone number,physical address."
11,2,
11,3,"location information, the MCC (mobile country code); device information, such as your hardware model, android ID, and operation system version);"
11,4,"To process transactions Your information, whether public or private, will not be sold, exchanged, transferred, or given to any other company for any reason whatsoever, without your consent, other than for the express purpose of delivering the purchased product or service requested.Do we disclose any information to outside parties? We do not sell, trade, or otherwise transfer to outside parties your personally identifiable information. This does not include: Trusted third parties who assist us in operating our website, conducting our business, or servicing you, so long as those parties agree to keep this information confidential."
11,5,
